1,3,4,10,35,40,48,79,108,114,129,147,158,172,231,261,327,333,368;403

24,31,40,72,126,131,158,162,183,221,222,286,300,317,330,352,359,380,399;440

10,45,100,115,125,140,160,165,240,275,285,295,300,305,310,330;225

16,27,91,119,176,185,195;209

6,26,32,55,72,81,82,107,119,127,132,143,149,179,181;239

15,110,175,295,335,355,385;310

5,20,30,35,40,45,50,90,100,115,125,145,150,160,165,190,195,210,215;160

25,50,90,115,150,165,200,285,315,370,415,425,435,450,485,505,530,535,540,575,635,650,660;470

20,25,30,35,40,45,70,90,95,100,115,125,135,150,155,160,165,170,180,185,190,195,200,205,210,230,235,285,290;195

89,90,151,198,243;312

15,16,25,39,46,47,51,56,73,80,93,97,111,117,119,121,124,143,144,147,160,177,194,196,199,203,206;211

5,80,90,105,135,165,170,175,210,245,255,265,270,305,310,365,430,450,455,460,495,505,510,515,565,630,645,665;445

35,200,305,470,585,625,645;480

50,120,130,155,180,220,230,240,245,250,260,280,350,365,370,380,395,400,410,430,450,455,465,480,520,530,555,590;410

34,40,45,96,122,151,234,261,284,292,354;380

5,30,55,65,145,170,265,310,340,355,365,435,475,530,535,550,555,565,610,625,665,675,690;485

3,21,27,93,96,196,214,260;289

1,2,3,4;50

10,20,30,35,40,55,65,70,75,95,105,110,115,130,145,155,180,185,195,205,215,230,235,240,250,260,265;185

33,46,49,79,121,122,126,128,142,151,156,159,160,169,181,186,189,196,218,219,237,254;284

6,30,41,43,46,49,53,64,71,76,85,91,92,100,105,124,140,143,152,155,160,177,189,199,225,228,240,260,264,293;311

10,15,30,35,45,120,140,190,195,200,220,270,345,355,380,405,420,460,465,480,510,515,535,600,620,625,645,680,685,715;490

5,95,210,225,285,355,400,525;450

4,14,15,16,45,46,62,63,71,100,102,104,119,122,123,132,137,138,157,162,164,169,173,183;184

3,7,24,28,32,34,35,41,50,54,56,70,73,78,79,84,102,106,112,124,133,137,138,143,146,147,152,163,164,169;173

5,10,20,25,30,40,60,75,80,85,115,120,125,145,150,160,170,180,185,190,200,210,215,235,240,255,265,285,300;205

1,2,3,4,6;5

10,90,100,110,130,235,255,260,320,340,400,405,465,515,530,535;385

1,138,163,234,291,368;405

3,4,23,27,30,40,47,67,82,87,108,111,114,116;126

12,51,85,180,211,250,313,434,447,448,464,468;472

8,11,13,46,63,86,95,98,110,112,115,136,153,167,173,176,183,220,222,239,307,320,341,353,370,381,392,403,447,451;455

25,55,90,200,240,250;180

2,18,25,26,27,30,33,36,44,45,46,48,50,51,53,54,62;64

6,7,11,13,17,20,22,24,25,26,33,35,39,47,49,50,58,59,60,62,65,70,75,77;79

20,30,85,160,215,250,270,380,455,510;420

26,86,102,105,126,156,190,195,217,218,236,256,266,282,288,366,392;404

5,15,20,30,35,40,50,60,75,80,95,100,115,120,130,135,145,150,160,165,175,185,190,195,200,205,210,215;150

25,45,55,70,90,100,105,120,125,140,150,175,180,210,220,245,260,280,285,300,310,340,380,395,430,455,475,480,505,530;360

40,60,90,145,180,200,220,230,355,405;285
