11;6,0,5,2,4,5,7,1,9,3,8

40;16,22,24,26,4,32,35,0,2,15,28,9,10,14,5,12,25,36,27,7,18,8,11,20,21,29,19,1,3,37,38,33,2,23,17,34,31,13,6,30

20;18,13,14,6,7,15,3,11,5,12,2,8,1,4,10,0,16,5,9,17

16;9,4,7,1,2,3,5,14,12,10,8,7,6,11,13,0

36;0,27,22,32,13,31,28,10,26,1,34,9,29,14,15,20,17,5,25,20,11,33,2,6,7,3,19,4,24,8,30,21,23,12,18,16

28;20,13,8,18,23,15,22,14,4,26,7,21,0,19,3,2,12,10,5,9,17,25,24,16,11,1,0,6

50;5,10,31,39,14,16,17,32,13,35,22,6,12,23,38,4,20,9,40,47,3,2,30,46,25,36,41,37,44,33,19,21,11,17,43,24,26,45,28,18,48,27,1,34,15,0,7,29,8,42

20;13,6,17,10,7,11,16,6,2,18,15,12,8,4,3,5,9,14,1,0

30;28,12,4,10,13,20,3,18,13,11,25,8,16,19,24,9,22,21,7,27,1,5,17,15,2,26,0,14,23,6

48;15,13,20,27,14,46,9,25,44,36,21,2,38,11,35,10,4,0,43,34,24,8,16,22,19,18,26,29,17,31,41,5,30,6,3,7,42,1,39,37,40,12,28,33,5,23,32,45

50;0,1,2,3,4,5,6,10,7,8,9,11,12,13,14,15,17,19,16,18,20,21,22,23,24,25,27,28,29,30,26,31,32,34,35,36,12,33,37,45,38,39,40,41,42,43,44,46,48,47

8;2,6,1,2,5,4,0,3

44;15,13,23,38,10,3,4,19,30,42,1,31,34,28,25,16,32,17,21,20,6,12,35,7,8,34,36,14,39,27,0,9,37,5,24,11,29,2,22,18,40,26,33,41

39;5,31,6,11,15,1,19,29,26,32,16,21,18,7,8,30,14,2,3,27,12,9,17,13,28,6,0,22,25,4,37,23,35,20,24,34,10,36,33

44;33,2,29,17,28,27,11,25,34,16,10,1,30,31,14,13,42,3,12,0,24,37,20,40,23,26,35,7,41,39,22,38,1,19,4,36,8,9,6,18,5,15,32,21

12;1,9,10,5,4,3,2,0,8,7,0,6

15;0,2,6,4,5,11,7,8,9,9,10,12,13,1,3

3;0,1,1

15;13,11,9,2,3,4,8,10,1,0,7,13,5,6,12

34;8,4,24,26,15,12,29,2,6,18,7,5,9,21,14,19,17,23,26,0,3,31,13,10,11,30,16,32,25,28,22,27,20,1
