(0,9), (5,7), (8,9), (7,3)

(5,9), (4,5), (2,7), (3,1)

(8,3), (8,9), (2,9), (2,3)

(2,2), (2,7), (7,7), (7,2)

(0,2), (1,2), (1,1), (1,0)

(3,1), (7,4), (2,1), (6,8)

(9,1), (7,8), (4,4), (2,2)

(5,1), (8,3), (8,1), (3,3)

(5,9), (4,7), (6,6), (7,8)

(2,2), (2,2), (2,2), (2,2)

(3,2), (3,2), (5,2), (3,4)

(4,8), (1,6), (0,4), (4,7)

(2,5), (2,8), (5,5), (5,8)

(4,4), (7,9), (2,1), (2,0)

(4,2), (8,9), (3,8), (8,6)

(5,6), (5,2), (5,6), (5,3)

(6,2), (4,3), (3,1), (5,0)

(3,7), (3,5), (5,7), (5,5)

(9,8), (9,2), (3,2), (3,8)

(7,1), (3,2), (4,6), (8,5)
