36 47 78 28 20 79 87 16 8 45 72 69 81 66 60 8 3 86 90 90 | 1
40 69 52 42 24 16 66 | 2
54 46 0 34 15 48 47 53 25 18 50 5 21 76 62 48 74 1 43 74 78 29 | 6
48 51 5 61 18 | 2
59 68 55 31 73 4 1 25 26 19 60 0 | 2
57 41 43 0 79 4 12 49 93 14 42 64 14 45 1 | 2
84 52 35 93 4 99 91 88 4 19 52 72 53 19 58 32 26 30 | 9
19 63 49 51 93 99 29 3 58 2 56 44 48 40 28 64 38 58 75 71 41 53 | 10
1 2 3 | 1000000000000
84 99 62 52 58 67 49 36 9 36 53 38 5 66 48 92 90 92 79 | 3
45 62 6 77 21 84 37 21 94 96 10 18 | 1
5 5 5 5 5 5 5 5 5 5 0 | 3
25 1 12 68 58 64 33 54 42 52 73 63 37 58 76 4 88 | 6
13 16 8 90 85 64 94 14 93 7 80 44 26 69 68 57 21 | 4
11 11 59 7 72 12 68 64 27 93 25 25 57 | 5
95 27 12 21 10 70 25 71 53 | 3
50 7 23 35 63 37 20 46 45 87 47 56 75 36 70 | 5
48 50 26 12 16 68 16 69 75 58 17 95 66 1 84 7 94 22 17 47 56 5 68 | 1
30 70 23 30 22 21 26 8 63 34 49 61 62 66 46 3 75 5 84 18 | 1
32 61 13 18 19 71 23 80 80 78 57 14 2 71 13 3 9 3 15 | 4
0 | 100
98 60 97 31 10 3 72 29 62 42 10 17 38 | 6
94 89 11 18 98 40 61 17 54 11 45 54 8 16 15 | 7
78 28 4 83 97 2 25 6 10 | 1
65 85 66 59 58 46 2 96 28 32 90 65 95 54 52 | 6
