00111111 11111111 11001101 11111111 11111011 01111011 11101111 01111111 11101011 01111111 11111101 01110111;1.8525

00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 11100000 00000000;7.

01001110 11111111 01111111 11111111 01101011 11110111 10111111 10111111 11101111 11100111 11111111 11111111;1156.54464

10011000 10111010 01110111 11111010 11001011 11111011 11111100 11110111 11011111 11111010 11111110 10111010;2072.31

10111110 10111111 11100011 11100111 11111101 01001111 10110010 10011110 00111111 11111001 01110010 11101110;705.90467688

00000000 00000000 01100110 11011011 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000;42.

00111111 10111110 11111111 11001111 11111111 11011111 11111011 01101111 11110011 11111111 01011110 11110111;67813061691.

11100111 11111101 11111101 10001111 11111111 11110111 11111111 11111111 11110110 11111110 11111111 11101001;83.60193

10101000 11111110 11111111 11110111 11111111 11111111 10111111 11111101 01111111 11111110 11111111 01101111;824.086743

10110011 10011110 11110111 11110001 11101111 11111111 11111001 11111011 10011111 11110011 01110001 11111000;3.9598

11110011 01100000 01100110 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000;3.14

11101101 11100111 10110101 00111111 11111100 00111011 11001001 11110010 10101110 10111101 11101111 11111000;29191399.187

11110111 11111111 11100111 11110011 11101100 11111110 11111110 11111011 11111110 11111011 11111111 11111111;3719373.93

00101110 10011111 00111001 11101001 11111111 11111111 11111111 11111111 11111111 11111111 11101101 10111010;915.708

01101000 01011101 01111101 01101110 11110011 11100111 00101110 10111100 10001111 01111101 11111010 01111001;67.55

01110110 11110101 11010111 00100111 11000111 11111011 11011011 11110101 11011111 10111001 01011111 10101001;23975.

11111001 01111110 11110111 11110011 11011011 00001110 01101111 10010011 10000111 01110110 10111011 11111111;8.405133232

10011111 10101101 11110100 01110100 11011111 11100011 11111111 11110110 11111111 11111010 10110001 11100111;4.382

10110111 01111111 11111110 01100101 11100101 11111110 11111001 01111100 11111100 10101011 11111011 11110111;3.

01110011 01111110 10111111 11111111 11101110 10111111 11110111 11111110 11111111 10111111 01111001 11111110;5.446589619

11111101 11111111 11101111 01001001 11110111 11000011 10100001 11110101 11011111 11110110 11110110 11101101;583299677.

00011111 11111111 11101111 11110111 11111011 11111111 11111010 10011011 11111001 10111100 11001110 11011111;61.7323

11111010 11100111 01111011 00111111 11101011 11011111 11011011 11110100 10110111 11111011 10011111 01111111;4.238

01111101 11100110 11110011 10001111 11111110 11110111 11110111 11111110 11111111 11111011 10100111 01011101;25909.3

00110100 10011101 11011111 10011101 10110101 10001111 10001111 11111100 01101111 01100111 00101111 11101101;54713391.

11111111 11111101 10100010 01010111 11101111 01101111 11101101 10110100 11111110 00100111 01111001 01010110;476.3988

00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 11100001 00000000;7.

10111001 11111111 00111110 11111111 00111011 01110100 10111101 00111010 11110111 10101110 01110001 11111111;64.95188508

00001100 11101100 10010111 00011011 11101011 11110011 01111011 10101111 11111000 11111111 01010101 10111111;436423733.89

10001111 11111111 11111111 00101011 11010110 11111010 10010111 01011101 10101011 10010101 10110010 10110111;95.42

11111111 11111111 11111111 11111101 11111010 11111111 11111111 11111110 11111111 11111111 11111010 10101101;4990367610.2

11110011 01100000 01000110 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000;3.14

11010101 01101111 11010110 11011011 01101100 11101011 01110011 10101101 11100111 00100111 11101101 10111110;55.448222513

11011111 11110111 10110111 11110101 10110100 01010111 00100011 01111110 11101100 00111100 10111011 11101111;47.000733

11101110 00111111 11111011 11111111 11111110 11111011 11111111 11111110 11111111 11101111 11000011 11111011;4236.807

11111111 11111111 11110111 11111111 11111111 11111111 11111110 11111111 01110111 11100001 01001111 10111101;85102.006

11011111 11100011 01011001 01111010 11010111 01101111 11111101 11111100 00111110 10101110 11011111 01101100;7.

11101001 11111011 10111110 11111111 11011111 11111110 11111110 11111111 11111111 11111110 11111111 11100111;32998.3844

11111110 01101111 11110111 11111111 11110011 11111010 11111111 11111111 11111111 11111011 11111110 11111111;64.9531698343

00011001 01111111 10001100 11111001 01110101 10110001 11101111 11011001 11101101 01110111 01110000 11111111;4.

11101111 10111011 01010101 11011101 11111111 00110111 10111011 11111100 11110111 10010101 10011100 11011111;25.08335206

11110011 00011111 11111111 11111011 01101111 11100011 11110110 01111111 01111111 11001110 11111010 10111111;231.7

11111111 10111011 11110101 11100000 00111101 10011010 11011111 11010111 11111011 01110111 10111110 10110111;28.

10111111 01001111 10111111 11111011 01110111 10100011 10001011 10110101 11111111 01101111 11111011 01101111;309180.4342

11111011 01111000 00010111 11011011 11111111 11011001 11110011 11101111 00010011 11101101 11111011 11111111;7.31

01101101 11101111 11111111 11111111 11111111 11110111 11111111 11111111 11111111 01110101 00111110 11011001;149.6059301

01101001 10111110 10000110 01101110 11011011 11111101 00001101 11111110 01010101 11101011 11101100 11111000;69159211.

11011100 01111110 00011001 11111011 11101101 11001110 11011111 11110011 10101110 11011001 01111010 11010101;77285530.623

01111100 11111111 00111101 11010111 11101110 11111111 11110101 10111111 11111111 11111110 11110111 00010111;976.865

11101011 11101111 11110111 11111110 10111111 11110110 11111111 11111111 11111110 11111110 01001110 10010101;1496552.092

00101101 11110111 11011110 11110110 10101110 11011011 01101111 11000101 11011110 00011111 10101111 00000011;9868584.0101

11110111 01100100 01001110 11100011 10111100 01111011 01111110 11001111 11011111 10110101 00110111 11111101;336.0533

01111101 11111110 10111111 00011000 00110111 11001110 11110111 11101000 00110101 00000111 10100110 10111111;19.1

11101110 11101001 11101110 00110111 11101110 01111111 11011110 11111111 11011011 11111111 11111111 11110110;222.

11111111 10010001 11111110 11110111 11111011 11110110 11111110 11101011 11111111 00101111 10101100 00000111;52961.1

11101101 11011111 11110110 11011010 11111111 00010101 10011101 01111111 11110111 10111111 11111011 11111110;9.

11111111 01110110 11111111 11111111 11011111 11110111 01111011 00111100 00001110 10110011 11010011 11011110;910224.

10100010 00101101 11110100 01111111 11101011 11111001 00001111 11111101 11111101 11110010 11110100 10100101;8972954.

